Idx,Brand,Product Name,Current Price (Won),Total Reviews,Average Star Rating (out of 5),Star Distribution,Skin Type - Dry (%),Skin Type - Combination (%),Skin Type - Oily (%),Skin Concern - Moisturizing (%),Skin Concern - Soothing (%),Skin Concern - Wrinkle/Whitening (%),Irritation - Non-irritating (%),Irritation - Moderate (%),Irritation - Irritating (%)
1,토리든,토리든 다이브인 저분자 히알루론산 세럼 50ml 리필기획(+리필팩 50ml),25200,28578,4.8,"{'5점': '88%', '4점': '9%', '3점': '2%', '2점': '0%', '1점': '0%'}",40,49,11,76,24,1,82,18,1
2,성분에디터,성분에디터 그린토마토 모공앰플 30ml 1+1+1 트리플기획,24900,11659,4.7,"{'5점': '77%', '4점': '16%', '3점': '5%', '2점': '1%', '1점': '1%'}",21,62,17,36,41,23,73,27,1
